"Time,""bansos"""
2023-05-19,71
2023-05-20,49
2023-05-21,63
2023-05-22,61
2023-05-23,45
2023-05-24,45
2023-05-25,59
2023-05-26,44
2023-05-27,64
2023-05-28,42
2023-05-29,48
2023-05-30,64
2023-05-31,52
2023-06-01,59
2023-06-02,67
2023-06-03,60
2023-06-04,52
2023-06-05,60
2023-06-06,60
2023-06-07,61
2023-06-08,53
2023-06-09,43
2023-06-10,39
2023-06-11,56
2023-06-12,55
2023-06-13,62
2023-06-14,42
2023-06-15,61
2023-06-16,75
2023-06-17,61
2023-06-18,45
2023-06-19,57
2023-06-20,66
2023-06-21,59
2023-06-22,61
2023-06-23,68
2023-06-24,70
2023-06-25,96
2023-06-26,100
2023-06-27,74
2023-06-28,79
2023-06-29,42
2023-06-30,30
2023-07-01,85
2023-07-02,82
2023-07-03,65
2023-07-04,76
2023-07-05,92
2023-07-06,80
2023-07-07,91
2023-07-08,62
2023-07-09,51
2023-07-10,62
2023-07-11,76
2023-07-12,79
2023-07-13,50
2023-07-14,54
2023-07-15,81
2023-07-16,73
2023-07-17,100
2023-07-18,81
2023-07-19,93
2023-07-20,53
2023-07-21,74
2023-07-22,65
2023-07-23,81
2023-07-24,67
2023-07-25,80
2023-07-26,64
2023-07-27,53
2023-07-28,69
2023-07-29,79
2023-07-30,69
2023-07-31,90
2023-08-01,50
2023-08-02,60
2023-08-03,44
2023-08-04,40
2023-08-05,34
2023-08-06,34
2023-08-07,51
2023-08-08,40
2023-08-09,32
2023-08-10,50
2023-08-11,38
2023-08-12,25
2023-08-13,33
2023-08-14,46
2023-08-15,41
2023-08-16,47
2023-08-17,36
2023-08-18,44
2023-08-19,30
2023-08-20,32
2023-08-21,42
2023-08-22,61
2023-08-23,63
2023-08-24,81
2023-08-25,85
2023-08-26,75
2023-08-27,71
2023-08-28,100
2023-08-29,75
2023-08-30,55
2023-08-31,48
2023-09-01,88
2023-09-02,81
2023-09-03,90
2023-09-04,84
2023-09-05,97
2023-09-06,100
2023-09-07,76
2023-09-08,75
2023-09-09,82
2023-09-10,68
2023-09-11,70
2023-09-12,73
2023-09-13,61
2023-09-14,57
2023-09-15,64
2023-09-16,34
2023-09-17,48
2023-09-18,48
2023-09-19,52
2023-09-20,60
2023-09-21,44
2023-09-22,50
2023-09-23,38
2023-09-24,40
2023-09-25,39
2023-09-26,44
2023-09-27,29
2023-09-28,25
2023-09-29,22
2023-09-30,44
2023-10-01,30
2023-10-02,37
2023-10-03,39
2023-10-04,44
2023-10-05,29
2023-10-06,44
2023-10-07,44
2023-10-08,34
2023-10-09,48
2023-10-10,42
2023-10-11,58
2023-10-12,43
2023-10-13,43
2023-10-14,53
2023-10-15,50
2023-10-16,43
2023-10-17,66
2023-10-18,63
2023-10-19,53
2023-10-20,49
2023-10-21,49
2023-10-22,58
2023-10-23,58
2023-10-24,67
2023-10-25,73
2023-10-26,64
2023-10-27,80
2023-10-28,69
2023-10-29,60
2023-10-30,100
2023-10-31,92
2023-11-01,100
2023-11-02,92
2023-11-03,65
2023-11-04,70
2023-11-05,51
2023-11-06,70
2023-11-07,54
2023-11-08,41
2023-11-09,40
2023-11-10,31
2023-11-11,27
2023-11-12,21
2023-11-13,47
2023-11-14,51
2023-11-15,60
2023-11-16,60
2023-11-17,60
2023-11-18,44
2023-11-19,49
2023-11-20,45
2023-11-21,47
2023-11-22,45
2023-11-23,47
2023-11-24,45
2023-11-25,47
2023-11-26,45
2023-11-27,59
2023-11-28,54
2023-11-29,44
2023-11-30,50
2023-12-01,53
2023-12-02,55
2023-12-03,40
2023-12-04,61
2023-12-05,47
2023-12-06,40
2023-12-07,42
2023-12-08,46
2023-12-09,28
2023-12-10,35
2023-12-11,35
2023-12-12,27
2023-12-13,43
2023-12-14,43
2023-12-15,63
2023-12-16,41
2023-12-17,0
2023-12-18,60
2023-12-19,86
2023-12-20,100
2023-12-21,81
2023-12-22,71
2023-12-23,56
2023-12-24,52
2023-12-25,56
2023-12-26,45
2023-12-27,55
2023-12-28,60
2023-12-29,53
2023-12-30,54
2023-12-31,31
2024-01-01,38
2024-01-02,31
2024-01-03,34
2024-01-04,42
2024-01-05,38
2024-01-06,30
2024-01-07,40
2024-01-08,47
2024-01-09,39
2024-01-10,32
2024-01-11,31
2024-01-12,24
2024-01-13,30
2024-01-14,38
2024-01-15,49
2024-01-16,46
2024-01-17,45
2024-01-18,49
2024-01-19,42
2024-01-20,53
2024-01-21,56
2024-01-22,47
2024-01-23,46
2024-01-24,54
2024-01-25,57
2024-01-26,61
2024-01-27,52
2024-01-28,35
2024-01-29,72
2024-01-30,99
2024-01-31,100
2024-02-01,98
2024-02-02,95
2024-02-03,91
2024-02-04,93
2024-02-05,83
